"raw_record_id","event_date","period","region_name","location","category","subcategory","status","owner_group","quantity","metric_value","metric_cost","score","cycle_hours","sla_met","risk_flag","notes"
"MAINTENANCEOPERATIONS-00001","2025-09-13","2025-09","Southern","Zone Tabuk","Electrical","Preventive","Scheduled","Reliability Team","10","5662.4","2276.28","79","11.28","No","At Risk","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00002","2025-09-26","2025-09","Western","Zone Abha","Fire Systems","Overhaul","Completed","Mobile Maintenance","7","7897.62","3269.61","79","12.16","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00003","2025-10-09","2025-10","Northern","Zone Riyadh","Vertical Transport","Inspection","Completed","Reliability Team","4","5303.55","2259.31","80","13.04","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00004","2025-10-22","2025-10","Central","Zone Jeddah","HVAC","Corrective","Outage","Mobile Maintenance","1","7304.52","3199.38","81","13.92","Yes","At Risk","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00005","2025-11-04","2025-11","Eastern","Zone Dammam","Electrical","Preventive","Scheduled","Reliability Team","10","7518.95","2932.39","82","14.8","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00006","2025-11-17","2025-11","Southern","Zone Tabuk","Fire Systems","Overhaul","Completed","Mobile Maintenance","7","6318.27","2539.94","83","15.68","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00007","2025-11-30","2025-11","Western","Zone Abha","Vertical Transport","Inspection","Completed","Reliability Team","4","8659.46","3585.02","84","16.56","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00008","2025-12-13","2025-12","Northern","Zone Riyadh","HVAC","Corrective","Outage","Mobile Maintenance","1","7820.48","3331.52","85","17.44","Yes","At Risk","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00009","2025-12-26","2025-12","Central","Zone Jeddah","Electrical","Preventive","Scheduled","Reliability Team","10","6294.32","2756.91","85","18.32","No","At Risk","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00010","2026-01-08","2026-01","Eastern","Zone Dammam","Fire Systems","Overhaul","Completed","Mobile Maintenance","7","6657.25","2596.33","86","19.2","No","At Risk","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00011","2026-01-21","2026-01",,"Zone Tabuk","Vertical Transport","Inspection","Completed","Reliability Team","4","5677.35","2282.29","78","20.08","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00012","2026-02-03","2026-02","Western","Zone Abha","HVAC","Corrective","Outage","Mobile Maintenance","1","8298.64","3435.64","79","20.96","Yes","At Risk","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00013","2026-02-16","2026-02","Northern","Zone Riyadh","Electrical","Preventive","Scheduled","Reliability Team","10","7161.68","3050.88","79","10.4","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00014","2026-03-01","2026-03","Central","Zone Jeddah","Fire Systems","Overhaul","Completed","Mobile Maintenance","7","10321.44","4520.79","80","11.28","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00015","2026-03-14","2026-03","Eastern","Zone Dammam","Vertical Transport","Inspection","Completed","Reliability Team","4","9968.92","3887.88","81","12.16","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00016","2026-03-27","2026-03","Southern","Zone Tabuk","HVAC","Corrective","Outage","Mobile Maintenance","1","8494.3","3414.71","82","13.04","Yes","At Risk","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00017","2026-04-09","2026-04","Western","Zone Abha","Electrical","Preventive","Scheduled","Reliability Team","10","8847.97","3663.06","83","13.92","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00018","2026-04-22","2026-04","Northern","Zone Riyadh","Fire Systems","Overhaul","Completed","Mobile Maintenance","7","4462.12","1900.86","84","14.8","No","At Risk","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00019","2026-05-05","2026-05","Central","Zone Jeddah","Vertical Transport","Inspection","Completed","Reliability Team","4","6617.29","2898.37","85","15.68","No","At Risk","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00020","2026-05-18","2026-05","Eastern","Zone Dammam","HVAC","Corrective","Outage","Mobile Maintenance","1","6486.32","2529.66","85","16.56","Yes","At Risk","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00021","2026-05-31","2026-05","Southern","Zone Tabuk","Electrical","Preventive","Scheduled","Reliability Team","10","5507.29","2213.93","86","17.44","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00022","2026-06-13","2026-06","Western","Zone Abha","Fire Systems","Overhaul","Completed","Mobile Maintenance","7","8066.14","3339.38","78","18.32","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00023","2025-01-02","2025-01","Northern","Zone Riyadh","Vertical Transport","Inspection","Completed","Reliability Team","4","6717.99","2861.86","79","19.2","Yes","Controlled","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
"MAINTENANCEOPERATIONS-00024","2025-01-15","2025-01","Central","Zone Jeddah","HVAC","Corrective","Outage","Mobile Maintenance","1","9192.76","4026.43","79","20.08","Yes","At Risk","SYNTHETIC DEMO DATA — Assets, preventive and corrective maintenance, downtime, maintenance costs, and asset condition."
