"raw_record_id","event_date","period","region_name","location","category","subcategory","status","owner_group","quantity","metric_value","metric_cost","score","cycle_hours","sla_met","risk_flag","notes"
"SUPPLYCHAIN-00001","2025-05-26","2025-05","Southern","Tabuk Cross-dock","Seasonal","Inbound","Delayed","Transport","10","5202.04","4380.12","88","21.15","No","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00002","2025-06-08","2025-06","Western","Khamis Hub","Imported","Outbound","Fulfilled","Procurement","7","7682.33","6560.71","88","22.8","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00003","2025-06-21","2025-06","Northern","Riyadh DC","Private Label","Replenishment","Fulfilled","Transport","4","6655.51","5763.67","89","24.45","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00004","2025-07-04","2025-07","Central","Jeddah DC","Fast Moving","Storage","At Risk","Procurement","1","9846.91","8645.59","90","26.1","Yes","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00005","2025-07-17","2025-07","Eastern","Dammam DC","Seasonal","Inbound","Delayed","Transport","10","9539.74","7917.98","91","27.75","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00006","2025-07-30","2025-07","Southern","Tabuk Cross-dock","Imported","Outbound","Fulfilled","Procurement","7","8016.37","6749.78","92","29.4","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00007","2025-08-12","2025-08","Western","Khamis Hub","Private Label","Replenishment","Fulfilled","Transport","4","11565.03","9876.54","93","31.05","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00008","2025-08-25","2025-08","Northern","Riyadh DC","Fast Moving","Storage","At Risk","Procurement","1","9864.29","8542.48","94","32.7","Yes","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00009","2025-09-07","2025-09","Central","Jeddah DC","Seasonal","Inbound","Delayed","Transport","10","8336.24","7319.22","94","34.35","No","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00010","2025-09-20","2025-09","Eastern","Dammam DC","Imported","Outbound","Fulfilled","Procurement","7","8212.61","6816.47","95","36","No","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00011","2025-10-03","2025-10",,"Tabuk Cross-dock","Private Label","Replenishment","Fulfilled","Transport","4","5428.92","4571.15","87","37.65","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00012","2025-10-16","2025-10","Western","Khamis Hub","Fast Moving","Storage","At Risk","Procurement","1","7538.73","6438.08","88","39.3","Yes","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00013","2025-10-29","2025-10","Northern","Riyadh DC","Seasonal","Inbound","Delayed","Transport","10","6505.88","5634.09","88","19.5","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00014","2025-11-11","2025-11","Central","Jeddah DC","Imported","Outbound","Fulfilled","Procurement","7","9487.92","8330.39","89","21.15","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00015","2025-11-24","2025-11","Eastern","Dammam DC","Private Label","Replenishment","Fulfilled","Transport","4","9163.87","7606.01","90","22.8","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00016","2025-12-07","2025-12","Southern","Tabuk Cross-dock","Fast Moving","Storage","At Risk","Procurement","1","8131.12","6846.4","91","24.45","Yes","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00017","2025-12-20","2025-12","Western","Khamis Hub","Seasonal","Inbound","Delayed","Transport","10","11116.44","9493.44","92","26.1","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00018","2026-01-02","2026-01","Northern","Riyadh DC","Imported","Outbound","Fulfilled","Procurement","7","6018.65","5212.15","93","27.75","No","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00019","2026-01-15","2026-01","Central","Jeddah DC","Private Label","Replenishment","Fulfilled","Transport","4","8400.57","7375.7","94","29.4","No","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00020","2026-01-28","2026-01","Eastern","Dammam DC","Fast Moving","Storage","At Risk","Procurement","1","8234.3","6834.47","94","31.05","Yes","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00021","2026-02-10","2026-02","Southern","Tabuk Cross-dock","Seasonal","Inbound","Delayed","Transport","10","7359.41","6196.62","95","32.7","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00022","2026-02-23","2026-02","Western","Khamis Hub","Imported","Outbound","Fulfilled","Procurement","7","10179.99","8693.71","87","34.35","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00023","2026-03-08","2026-03","Northern","Riyadh DC","Private Label","Replenishment","Fulfilled","Transport","4","9192.95","7961.09","88","36","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00024","2026-03-21","2026-03","Central","Jeddah DC","Fast Moving","Storage","At Risk","Procurement","1","12579.46","11044.77","88","37.65","Yes","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00025","2026-04-03","2026-04","Eastern","Dammam DC","Seasonal","Inbound","Delayed","Transport","10","9386.62","7790.89","89","39.3","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00026","2026-04-16","2026-04","Southern","Tabuk Cross-dock","Imported","Outbound","Fulfilled","Procurement","7","7846.56","6606.8","90","19.5","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00027","2026-04-29","2026-04","Western","Khamis Hub","Private Label","Replenishment","Fulfilled","Transport","4","6342.69","5416.66","91","21.15","No","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00028","2026-05-12","2026-05","Northern","Riyadh DC","Fast Moving","Storage","At Risk","Procurement","1","5893.8","5104.03","92","22.8","No","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00029","2026-05-25","2026-05","Central","Jeddah DC","Seasonal","Inbound","Delayed","Transport","10","8184.88","7186.32","93","24.45","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00030","2026-06-07","2026-06","Eastern","Dammam DC","Imported","Outbound","Fulfilled","Procurement","7","8457.51","7019.73","94","26.1","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00031","2026-06-20","2026-06","Southern","Tabuk Cross-dock","Private Label","Replenishment","Fulfilled","Transport","4","7153.22","6023.01","94","27.75","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00032","2025-01-09","2025-01","Western","Khamis Hub","Fast Moving","Storage","At Risk","Procurement","1","9549.29","8155.09","95","29.4","Yes","At Risk","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00033","2025-01-22","2025-01","Northern","Riyadh DC","Seasonal","Inbound","Delayed","Transport","10","8187.68","7090.53","87","31.05","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
"SUPPLYCHAIN-00034","2025-02-04","2025-02","Central","Jeddah DC","Imported","Outbound","Fulfilled","Procurement","7","11761.18","10326.32","88","32.7","Yes","Controlled","SYNTHETIC DEMO DATA — Inventory levels, stock movement, supplier performance, purchase orders, fulfillment, delivery performance, and out-of-stock risk."
