"raw_record_id","event_date","period","region_name","location","category","subcategory","status","owner_group","quantity","metric_value","metric_cost","score","cycle_hours","sla_met","risk_flag","notes"
"QUALITYPERFORMANCE-00001","2025-08-11","2025-08","Western","Cluster D","Transmission Loss","Recurring","Review","Data Governance","10","9100.39","928.24","85","50.76","No","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00002","2025-08-24","2025-08","Northern","Cluster E","Configuration","External","Compliant","NOC Quality","7","7918.81","902.74","85","54.72","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00003","2025-09-06","2025-09","Central","Cluster A","Data Completeness","Preventable","Compliant","Data Governance","4","11496.21","1448.52","86","58.68","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00004","2025-09-19","2025-09","Eastern","Cluster B","Power Stability","One-time","Violation","NOC Quality","1","11175.87","1542.27","87","62.64","Yes","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00005","2025-10-02","2025-10","Southern","Cluster C","Transmission Loss","Recurring","Review","Data Governance","10","7301.85","657.17","88","66.6","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00006","2025-10-15","2025-10","Western","Cluster D","Configuration","External","Compliant","NOC Quality","7","10035.02","1023.57","89","70.56","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00007","2025-10-28","2025-10","Northern","Cluster E","Data Completeness","Preventable","Compliant","Data Governance","4","8580.54","978.18","90","74.52","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00008","2025-11-10","2025-11","Central","Cluster A","Power Stability","One-time","Violation","NOC Quality","1","12410.24","1563.69","91","78.48","Yes","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00009","2025-11-23","2025-11","Eastern","Cluster B","Transmission Loss","Recurring","Review","Data Governance","10","7050.12","972.92","91","82.44","No","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00010","2025-12-06","2025-12","Southern","Cluster C","Configuration","External","Compliant","NOC Quality","7","6398.29","575.85","92","86.4","No","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00011","2025-12-19","2025-12",,"Cluster D","Data Completeness","Preventable","Compliant","Data Governance","4","8924","910.25","84","90.36","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00012","2026-01-01","2026-01","Northern","Cluster E","Power Stability","One-time","Violation","NOC Quality","1","8300.1","946.21","85","94.32","Yes","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00013","2026-01-14","2026-01","Central","Cluster A","Transmission Loss","Recurring","Review","Data Governance","10","11431.65","1440.39","85","46.8","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00014","2026-01-27","2026-01","Eastern","Cluster B","Configuration","External","Compliant","NOC Quality","7","11075.05","1528.36","86","50.76","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00015","2026-02-09","2026-02","Southern","Cluster C","Data Completeness","Preventable","Compliant","Data Governance","4","9796.32","881.67","87","54.72","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00016","2026-02-22","2026-02","Western","Cluster D","Power Stability","One-time","Violation","NOC Quality","1","13426.28","1369.48","88","58.68","Yes","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00017","2026-03-07","2026-03","Northern","Cluster E","Transmission Loss","Recurring","Review","Data Governance","10","12024.42","1370.78","89","62.64","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00018","2026-03-20","2026-03","Central","Cluster A","Configuration","External","Compliant","NOC Quality","7","9677.85","1219.41","90","66.6","No","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00019","2026-04-02","2026-04","Eastern","Cluster B","Data Completeness","Preventable","Compliant","Data Governance","4","7386.22","1019.3","91","70.56","No","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00020","2026-04-15","2026-04","Southern","Cluster C","Power Stability","One-time","Violation","NOC Quality","1","6299.03","566.91","91","74.52","Yes","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00021","2026-04-28","2026-04","Western","Cluster D","Transmission Loss","Recurring","Review","Data Governance","10","8746.98","892.19","92","78.48","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00022","2026-05-11","2026-05","Northern","Cluster E","Configuration","External","Compliant","NOC Quality","7","8020.38","914.32","84","82.44","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00023","2026-05-24","2026-05","Central","Cluster A","Data Completeness","Preventable","Compliant","Data Governance","4","11008.57","1387.08","85","86.4","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00024","2026-06-06","2026-06","Eastern","Cluster B","Power Stability","One-time","Violation","NOC Quality","1","11258.03","1553.61","85","90.36","Yes","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00025","2026-06-19","2026-06","Southern","Cluster C","Transmission Loss","Recurring","Review","Data Governance","10","9434.31","849.09","86","94.32","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00026","2025-01-08","2025-01","Western","Cluster D","Configuration","External","Compliant","NOC Quality","7","12490.51","1274.03","87","46.8","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00027","2025-01-21","2025-01","Northern","Cluster E","Data Completeness","Preventable","Compliant","Data Governance","4","6299.09","718.1","88","50.76","No","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00028","2025-02-03","2025-02","Central","Cluster A","Power Stability","One-time","Violation","NOC Quality","1","9254.74","1166.1","89","54.72","No","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00029","2025-02-16","2025-02","Eastern","Cluster B","Transmission Loss","Recurring","Review","Data Governance","10","9071.57","1251.88","90","58.68","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00030","2025-03-01","2025-03","Southern","Cluster C","Configuration","External","Compliant","NOC Quality","7","8087.45","727.87","91","62.64","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00031","2025-03-14","2025-03","Western","Cluster D","Data Completeness","Preventable","Compliant","Data Governance","4","11187.05","1141.08","91","66.6","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00032","2025-03-27","2025-03","Northern","Cluster E","Power Stability","One-time","Violation","NOC Quality","1","9621.31","1096.83","92","70.56","Yes","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00033","2025-04-09","2025-04","Central","Cluster A","Transmission Loss","Recurring","Review","Data Governance","10","10211.5","1286.65","84","74.52","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00034","2025-04-22","2025-04","Eastern","Cluster B","Configuration","External","Compliant","NOC Quality","7","9835.68","1357.32","85","78.48","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00035","2025-05-05","2025-05","Southern","Cluster C","Data Completeness","Preventable","Compliant","Data Governance","4","8735.82","786.22","85","82.44","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00036","2025-05-18","2025-05","Western","Cluster D","Power Stability","One-time","Violation","NOC Quality","1","7061.51","720.27","86","86.4","No","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00037","2025-05-31","2025-05","Northern","Cluster E","Transmission Loss","Recurring","Review","Data Governance","10","6175.76","704.04","87","90.36","No","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00038","2025-06-13","2025-06","Central","Cluster A","Configuration","External","Compliant","NOC Quality","7","9080.94","1144.2","88","94.32","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00039","2025-06-26","2025-06","Eastern","Cluster B","Data Completeness","Preventable","Compliant","Data Governance","4","8862.12","1222.97","89","46.8","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00040","2025-07-09","2025-07","Southern","Cluster C","Power Stability","One-time","Violation","NOC Quality","1","8051.75","724.66","90","50.76","Yes","At Risk","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00041","2025-07-22","2025-07","Western","Cluster D","Transmission Loss","Recurring","Review","Data Governance","10","11099.54","1132.15","91","54.72","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
"QUALITYPERFORMANCE-00042","2025-08-04","2025-08","Northern","Cluster E","Configuration","External","Compliant","NOC Quality","7","10017.77","1142.03","91","58.68","Yes","Controlled","SYNTHETIC DEMO DATA — Data completeness, quality violations, repeated incidents, root causes, operational quality scores, and trends."
