"raw_record_id","event_date","period","region_name","location","category","subcategory","status","owner_group","quantity","metric_value","metric_cost","score","cycle_hours","sla_met","risk_flag","notes"
"SERVICEPERFORMANCE-00001","2025-08-11","2025-08","Western","Portfolio North","Security","Standard","In Progress","Customer Care","10","3857.77","1743.71","4","6.35","No","At Risk","SYNTHETIC DEMO DATA — Service tickets, priority, status, SLA compliance, resolution duration, customer satisfaction, and operating cost."
"SERVICEPERFORMANCE-00002","2025-08-24","2025-08","Northern","Portfolio South","Helpdesk","Customer Request","Resolved","Mobile Team","7","3356.89","1557.6","4","6.84","Yes","Controlled","SYNTHETIC DEMO DATA — Service tickets, priority, status, SLA compliance, resolution duration, customer satisfaction, and operating cost."
"SERVICEPERFORMANCE-00003","2025-09-06","2025-09","Central","Portfolio Central","Space Services","Planned","Resolved","Customer Care","4","4873.4","2319.74","4","7.34","Yes","Controlled","SYNTHETIC DEMO DATA — Service tickets, priority, status, SLA compliance, resolution duration, customer satisfaction, and operating cost."
"SERVICEPERFORMANCE-00004","2025-09-19","2025-09","Eastern","Portfolio West","Cleaning","Urgent","Breached","Mobile Team","1","4737.6","2311.95","4","7.83","Yes","At Risk","SYNTHETIC DEMO DATA — Service tickets, priority, status, SLA compliance, resolution duration, customer satisfaction, and operating cost."
"SERVICEPERFORMANCE-00005","2025-10-02","2025-10","Southern","Portfolio East","Security","Standard","In Progress","Customer Care","10","3095.35","1361.95","4","8.33","Yes","Controlled","SYNTHETIC DEMO DATA — Service tickets, priority, status, SLA compliance, resolution duration, customer satisfaction, and operating cost."
"SERVICEPERFORMANCE-00006","2025-10-15","2025-10","Western","Portfolio North","Helpdesk","Customer Request","Resolved","Mobile Team","7","4253.98","1922.8","5","8.82","Yes","Controlled","SYNTHETIC DEMO DATA — Service tickets, priority, status, SLA compliance, resolution duration, customer satisfaction, and operating cost."
"SERVICEPERFORMANCE-00007","2025-10-28","2025-10","Northern","Portfolio South","Space Services","Planned","Resolved","Customer Care","4","3637.4","1687.75","4","9.32","Yes","Controlled","SYNTHETIC DEMO DATA — Service tickets, priority, status, SLA compliance, resolution duration, customer satisfaction, and operating cost."
"SERVICEPERFORMANCE-00008","2025-11-10","2025-11","Central","Portfolio Central","Cleaning","Urgent","Breached","Mobile Team","1","5260.86","2504.17","4","9.81","Yes","At Risk","SYNTHETIC DEMO DATA — Service tickets, priority, status, SLA compliance, resolution duration, customer satisfaction, and operating cost."
"SERVICEPERFORMANCE-00009","2025-11-23","2025-11","Eastern","Portfolio West","Security","Standard","In Progress","Customer Care","10","2988.64","1458.46","4","10.3","No","At Risk","SYNTHETIC DEMO DATA — Service tickets, priority, status, SLA compliance, resolution duration, customer satisfaction, and operating cost."
"SERVICEPERFORMANCE-00010","2025-12-06","2025-12","Southern","Portfolio East","Helpdesk","Customer Request","Resolved","Mobile Team","7","2712.32","1193.42","4","10.8","No","At Risk","SYNTHETIC DEMO DATA — Service tickets, priority, status, SLA compliance, resolution duration, customer satisfaction, and operating cost."
