"raw_record_id","event_date","period","region_name","location","category","subcategory","status","owner_group","quantity","metric_value","metric_cost","score","cycle_hours","sla_met","risk_flag","notes"
"EXECUTIVEMANAGEMENT-00001","2025-08-22","2025-08","Eastern","Distribution Division","Supply Chain","Growth","Watch","Operations","10","17646.14","13622.82","81","29.61","No","At Risk","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00002","2025-09-04","2025-09","Southern","Retail Division","Customer","Exception","On Track","Finance","7","15801.2","12388.14","81","31.92","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00003","2025-09-17","2025-09","Western","Shared Services","Operations","Resilience","On Track","Operations","4","21941.93","17465.78","82","34.23","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00004","2025-09-30","2025-09","Northern","Digital Division","Commercial","Margin","Exception","Finance","1","19264.76","15565.93","83","36.54","Yes","At Risk","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00005","2025-10-13","2025-10","Central","Distribution Division","Supply Chain","Growth","Watch","Operations","10","20146.52","15311.36","84","38.85","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00006","2025-10-26","2025-10","Eastern","Retail Division","Customer","Exception","On Track","Finance","7","19458.44","15021.92","85","41.16","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00007","2025-11-08","2025-11","Southern","Shared Services","Operations","Resilience","On Track","Operations","4","17325.46","13583.16","86","43.47","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00008","2025-11-21","2025-11","Western","Digital Division","Commercial","Margin","Exception","Finance","1","23686.45","18854.41","87","45.78","Yes","At Risk","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00009","2025-12-04","2025-12","Northern","Distribution Division","Supply Chain","Growth","Watch","Operations","10","12647.99","10219.58","87","48.09","No","At Risk","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00010","2025-12-17","2025-12","Central","Retail Division","Customer","Exception","On Track","Finance","7","17653.52","13416.68","88","50.4","No","At Risk","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00011","2025-12-30","2025-12",,"Shared Services","Operations","Resilience","On Track","Operations","4","17599.63","13586.91","80","52.71","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00012","2026-01-12","2026-01","Southern","Digital Division","Commercial","Margin","Exception","Finance","1","15773.37","12366.32","81","55.02","Yes","At Risk","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00013","2026-01-25","2026-01","Western","Distribution Division","Supply Chain","Growth","Watch","Operations","10","21818.69","17367.68","81","27.3","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00014","2026-02-07","2026-02","Northern","Retail Division","Customer","Exception","On Track","Finance","7","19752.57","15960.08","82","29.61","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00015","2026-02-20","2026-02","Central","Shared Services","Operations","Resilience","On Track","Operations","4","27029.03","20542.06","83","31.92","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00016","2026-03-05","2026-03","Eastern","Digital Division","Commercial","Margin","Exception","Finance","1","27335.97","21103.37","84","34.23","Yes","At Risk","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00017","2026-03-18","2026-03","Southern","Distribution Division","Supply Chain","Growth","Watch","Operations","10","22850.99","17915.18","85","36.54","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00018","2026-03-31","2026-03","Western","Retail Division","Customer","Exception","On Track","Finance","7","18781.52","14950.09","86","38.85","No","At Risk","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00019","2026-04-13","2026-04","Northern","Shared Services","Operations","Resilience","On Track","Operations","4","12514.8","10111.96","87","41.16","No","At Risk","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00020","2026-04-26","2026-04","Central","Digital Division","Commercial","Margin","Exception","Finance","1","17379.65","13208.53","87","43.47","Yes","At Risk","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00021","2026-05-09","2026-05","Eastern","Distribution Division","Supply Chain","Growth","Watch","Operations","10","18020.92","13912.15","88","45.78","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00022","2026-05-22","2026-05","Southern","Retail Division","Customer","Exception","On Track","Finance","7","15241.8","11949.57","80","48.09","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00023","2026-06-04","2026-06","Western","Shared Services","Operations","Resilience","On Track","Operations","4","22247.16","17708.74","81","50.4","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00024","2026-06-17","2026-06","Northern","Digital Division","Commercial","Margin","Exception","Finance","1","19074.98","15412.58","81","52.71","Yes","At Risk","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
"EXECUTIVEMANAGEMENT-00025","2025-01-06","2025-01","Central","Distribution Division","Supply Chain","Growth","Watch","Operations","10","25207.65","19157.81","82","55.02","Yes","Controlled","SYNTHETIC DEMO DATA — Consolidated revenue, profitability, inventory health, regional performance, and operational exceptions."
